Judul Artikel,Link,Waktu_Scraping,Berita_Hoax
Jokowi Lakukan Pengisian Awal Sumber Air Masyarakat IKN,/read/KZmCvlOA-jokowi-lakukan-pengisian-awal-sumber-air-masyarakat-ikn,2023-10-11,False
"Isu Prabowo Tampar Wamentan, Hasto: Tak Ada Asap Tanpa Api",/play/ba4C0GL1-isu-prabowo-tampar-wamentan-hasto-tak-ada-asap-tanpa-api,2023-10-11,False
Puan Sebut Peluang Duet Ganjar-Prabowo Masih Terbuka,/read/KXyC92Jg-puan-sebut-peluang-duet-ganjar-prabowo-masih-terbuka,2023-10-11,False
Prabowo Bertemu Guru Ngaji,/play/N4EC2VPg-prabowo-bertemu-guru-ngaji,2023-10-11,False
Tim 8 Prabowo Mengaku Hanya Makmum soal Kandidat Cawapres,/play/NG9C5DOq-tim-8-prabowo-mengaku-hanya-makmum-soal-kandidat-cawapres,2023-10-11,False
Prabowo Bertemu Lebih dari Seribu Guru Ngaji di Yogyakarta,/play/N0BCrQm5-prabowo-bertemu-lebih-dari-seribu-guru-ngaji-di-yogyakarta,2023-10-11,False
Jawaban Demokrat Tak Hadiri Pertemuan KIM di Golkar,/read/N4EC2VOY-jawaban-demokrat-tak-hadiri-pertemuan-kim-di-golkar,2023-10-11,False
Ganjar Bicara Peluang Duet dengan Prabowo di Pilpres 2024,/play/N0BCrQq5-ganjar-bicara-peluang-duet-dengan-prabowo-di-pilpres-2024,2023-10-11,False
Petinggi Parpol Koalisi Prabowo Berkumpul di Golkar,/read/ba4C0GJ5-petinggi-parpol-koalisi-prabowo-berkumpul-di-golkar,2023-10-11,False
Prabowo Geram Dituduh Mencekik dan Tampar Wamen,/play/NleC04xJ-prabowo-geram-dituduh-mencekik-dan-tampar-wamen,2023-10-11,False
Sekjen Parpol Pendukung Prabowo Gelar Rapat di Markas Golkar,/play/bzGCg8xd-sekjen-parpol-pendukung-prabowo-gelar-rapat-di-markas-golkar,2023-10-11,False
PDIP soal Isu Prabowo Tampar & Cekik Wamen: Tak Ada Asap Tanpa Api,/play/bw6CYrEl-pdip-soal-isu-prabowo-tampar-cekik-wamen-tak-ada-asap-tanpa-api,2023-10-11,False
Projo Belum Putuskan Arah Dukungan di Pilpres 2024,/read/kWDCOMg8-projo-belum-putuskan-arah-dukungan-di-pilpres-2024,2023-10-11,False
Anies Bacapres 'Berkantong Tipis' dibanding Prabowo dan Ganjar,/read/NrWCZ7D3-anies-bacapres-berkantong-tipis-dibanding-prabowo-dan-ganjar,2023-10-11,False
Prabowo Bantah Cekik Wamentan Harvick,/play/NA0CXV16-prabowo-bantah-cekik-wamentan-harvick,2023-10-11,False
Eks Dirut Amarta Karya Bakal Disidang Terkait Dugaan Korupsi dan Pencucian Uang Rp56 Miliar,/read/KXyC92nz-eks-dirut-amarta-karya-bakal-disidang-terkait-dugaan-korupsi-dan-pencucian-uang-rp56-miliar,2023-10-11,False
"Prabowo Bela Zulhas: Kalau Hatimu Tidak Suka PAN, Jangan Pilih",/read/NA0CXVaQ-prabowo-bela-zulhas-kalau-hatimu-tidak-suka-pan-jangan-pilih,2023-10-11,False
"Tinjau PT Pindad, Jokowi Disopiri Prabowo Naik Maung",/play/N4EC2VlW-tinjau-pt-pindad-jokowi-disopiri-prabowo-naik-maung,2023-10-11,False
"Beda Gaya Adu Gagasan dengan Ganjar dan Prabowo, Anies Tanpa Slide Presentasi",/read/Ky6CBaoJ-beda-gaya-adu-gagasan-dengan-ganjar-dan-prabowo-anies-tanpa-slide-presentasi,2023-10-11,False
Menunggu Aksi Istana Perangi Hoaks Prabowo Tampar Wamentan,/play/NP6CZzER-menunggu-aksi-istana-perangi-hoaks-prabowo-tampar-wamentan,2023-10-11,False
PSSI dan Polri Bersinergi Persiapkan Piala Dunia U-17,/read/N9nC6gPD-pssi-dan-polri-bersinergi-persiapkan-piala-dunia-u-17,2023-10-11,False
Prabowo Tertawa Disebut Tampar dan Cekik Wamentan,/play/bw6CYr0q-prabowo-tertawa-disebut-tampar-dan-cekik-wamentan,2023-10-11,False
Jokowi dan Prabowo Kunjungi PT Pindad,/play/NxGC58VL-jokowi-dan-prabowo-kunjungi-pt-pindad,2023-10-11,False
Jubir Prabowo Sebut Penyebaran Hoaks Jelang Pemilu Harus Dihentikan,/play/bJECndA6-jubir-prabowo-sebut-penyebaran-hoaks-jelang-pemilu-harus-dihentikan,2023-10-11,False
Prabowo Bantah Isu Tampar dan Cekik Wamentan,/play/NOlCYLlM-prabowo-bantah-isu-tampar-dan-cekik-wamentan,2023-10-11,False
Penyebar Hoaks Prabowo Tampar Wamen Dilaporkan ke Polisi,/play/bw6CYr4q-penyebar-hoaks-prabowo-tampar-wamen-dilaporkan-ke-polisi,2023-10-11,False
Kapolri Sebut Pengamanan Piala Dunia U-17 Sebagai Ujian,/read/bzGCg8A3-kapolri-sebut-pengamanan-piala-dunia-u-17-sebagai-ujian,2023-10-11,False
Detail Kebutuhan Pengamanan Piala Dunia U-17,/read/N4EC2VMJ-detail-kebutuhan-pengamanan-piala-dunia-u-17,2023-10-11,False
Kapolri Pastikan Pengamanan Piala Dunia U-17 dan Pemilu,/read/N9nC6g0q-kapolri-pastikan-pengamanan-piala-dunia-u-17-dan-pemilu,2023-10-11,False
Jokowi: Tidak Benar Prabowo Menampar Wamen,/play/KYVCJOlA-jokowi-tidak-benar-prabowo-menampar-wamen,2023-10-11,False
KKB Adang dan Tembak Warga Sipil di Pegunungan Bintang,/read/KZmCvl3J-kkb-adang-dan-tembak-warga-sipil-di-pegunungan-bintang,2023-10-11,False
Luas Lahan Terbakar Alun-alun Suryakencana Gunung Gede Capai 3 Hektare,/read/kpLCr5YQ-luas-lahan-terbakar-alun-alun-suryakencana-gunung-gede-capai-3-hektare,2023-10-11,False
Anies Hormati Keputusan Demokrat Dukung Prabowo,/play/NG9C5DGR-anies-hormati-keputusan-demokrat-dukung-prabowo,2023-10-11,False
SBY Siap Turun Gunung Menangkan Prabowo di Pilpres 2024,/play/bmRCmqVB-sby-siap-turun-gunung-menangkan-prabowo-di-pilpres-2024,2023-10-11,False
Lembaga Survei Dinilai Sengaja Menonjolkan Paket Pasangan Prabowo dan Ganjar,/read/b2lCr0wA-lembaga-survei-dinilai-sengaja-menonjolkan-paket-pasangan-prabowo-dan-ganjar,2023-10-11,False
Jokowi Tegaskan Pencalonan Presiden Urusan Partai,/read/KdZCVnd5-jokowi-tegaskan-pencalonan-presiden-urusan-partai,2023-10-11,False
PDIP Coret Ridwan Kamil dari Bursa Cawapres Ganjar,/read/N0BCrQDR-pdip-coret-ridwan-kamil-dari-bursa-cawapres-ganjar,2023-10-11,False
Demokrat Lebih Nyaman Berkoalisi dengan Prabowo Ketimbang PDIP,/read/b7WCRyVW-demokrat-lebih-nyaman-berkoalisi-dengan-prabowo-ketimbang-pdip,2023-10-11,False
Deklarasi Resmi Demokrat Dukung Prabowo Diumumkan 21 September 2023,/play/KdZCVnQ5-deklarasi-resmi-demokrat-dukung-prabowo-diumumkan-21-september-2023,2023-10-11,False
"Demokrat Gabung Prabowo, Sodori AHY Cawapres?",/play/NrWCZ7Jl-demokrat-gabung-prabowo-sodori-ahy-cawapres,2023-10-11,False
Puan Sebut AHY Tak Mungkin Lagi jadi Cawapres Ganjar,/read/NxGC58Ej-puan-sebut-ahy-tak-mungkin-lagi-jadi-cawapres-ganjar,2023-10-11,False
Prabowo dan Erick Dampingi Presiden di Munas NU,/play/NLMCOa5L-prabowo-dan-erick-dampingi-presiden-di-munas-nu,2023-10-11,False
"Didatangi SBY, Prabowo Tunggu Deklarasi Dukungan",/play/ba4C0G4P-didatangi-sby-prabowo-tunggu-deklarasi-dukungan,2023-10-11,False
Dukungan Demokrat ke Prabowo Dinilai Lebih Strategis Daripada Ganjar,/read/KvJCB29B-dukungan-demokrat-ke-prabowo-dinilai-lebih-strategis-daripada-ganjar,2023-10-11,False
"Dukung Prabowo, AHY Pamit ke Puan",/read/NLMCOaDL-dukung-prabowo-ahy-pamit-ke-puan,2023-10-11,False
AHY Dinilai Sulit Jadi Cawapres Prabowo,/read/NA0CXVvL-ahy-dinilai-sulit-jadi-cawapres-prabowo,2023-10-11,False
NasDem Tak Khawatir Koalisi Prabowo Kian Gemuk,/read/Ky6CBaLv-nasdem-tak-khawatir-koalisi-prabowo-kian-gemuk,2023-10-11,False
PKB Sebut Pilpres Berpeluang Tersisa Dua Poros,/read/kM6C0mwj-pkb-sebut-pilpres-berpeluang-tersisa-dua-poros,2023-10-11,False
Bergabungnya Demokrat ke Prabowo Beri Kepastian Tak Ada Poros Baru,/read/b7WCRyw4-bergabungnya-demokrat-ke-prabowo-beri-kepastian-tak-ada-poros-baru,2023-10-11,False
Puan Sebut RK dan AHY Tidak Mungkin jadi Bakal Cawapres Ganjar,/read/ba4C0G6P-puan-sebut-rk-dan-ahy-tidak-mungkin-jadi-bakal-cawapres-ganjar,2023-10-11,False
Cak Imin Sambut Baik Keputusan Demokrat Dukung Prabowo,/read/NOlCYL70-cak-imin-sambut-baik-keputusan-demokrat-dukung-prabowo,2023-10-11,False
NasDem Hormati Keputusan Demokrat Dukung Prabowo,/read/b2lCr03e-nasdem-hormati-keputusan-demokrat-dukung-prabowo,2023-10-11,False
Presiden Jokowi Buka Munas NU 2023,/read/b3JCyaxz-presiden-jokowi-buka-munas-nu-2023,2023-10-11,False
Demokrat Tegaskan Keputusan Dukung Prabowo Hasil Musyarawah Majelis Tinggi,/read/KZmCvlJG-demokrat-tegaskan-keputusan-dukung-prabowo-hasil-musyarawah-majelis-tinggi,2023-10-11,False
PAN Getol Ajukan Erick Jadi Cawapres Prabowo,/play/NgxC84qx-pan-getol-ajukan-erick-jadi-cawapres-prabowo,2023-10-11,False
Tolak Uangnya Tolak Orangnya,/read/koGCVvrv-tolak-uangnya-tolak-orangnya,2023-10-11,False
Survei: Elektabilitas Anies di Jatim Naik 4%,/read/bD2CZ4JO-survei-elektabilitas-anies-di-jatim-naik-4,2023-10-11,False
Gerindra Berharap Demokrat Segera Deklarasikan Dukungan ke Prabowo,/play/K5nC4dMy-gerindra-berharap-demokrat-segera-deklarasikan-dukungan-ke-prabowo,2023-10-11,False
Gerindra: Demokrat Bakal Makin Intens Berkomunikasi,/read/NrWCZ7yW-gerindra-demokrat-bakal-makin-intens-berkomunikasi,2023-10-11,False
Gerindra Harap Demokrat Segera Resmikan Dukungan ke Prabowo,/read/NA0CXVGD-gerindra-harap-demokrat-segera-resmikan-dukungan-ke-prabowo,2023-10-11,False
PAN Sebut Demokrat Resmi Bergabung Dukung Prabowo,/play/N4EC2VXR-pan-sebut-demokrat-resmi-bergabung-dukung-prabowo,2023-10-11,False
Airlangga Ungkap Parpol 'Biru' Bakal Bergabung ke Koalisi Pengusung Prabowo,/play/NP6CZz7j-airlangga-ungkap-parpol-biru-bakal-bergabung-ke-koalisi-pengusung-prabowo,2023-10-11,False
"Demokrat Merapat, Tim Pemenangan Prabowo Segera Dibahas",/read/N6GC8G7n-demokrat-merapat-tim-pemenangan-prabowo-segera-dibahas,2023-10-11,False
SBY Siap Turun Gunung Bantu Prabowo,/read/kWDCOM6L-sby-siap-turun-gunung-bantu-prabowo,2023-10-11,False
"Demokrat Bakal Gabung KIM, PAN: Bisa Memperkuat Dukungan ke Prabowo",/read/NxGC58XV-demokrat-bakal-gabung-kim-pan-bisa-memperkuat-dukungan-ke-prabowo,2023-10-11,False
Koalisi Indonesia Maju dan Partai Demokrat Bertemu di Kediaman Prabowo,/play/NA0CXVzD-koalisi-indonesia-maju-dan-partai-demokrat-bertemu-di-kediaman-prabowo,2023-10-11,False
"Parpol KIM Dikabarkan Berkumpul di Hambalang Sore Ini, Sinyal Demokrat Merapat?",/read/KZmCvl40-parpol-kim-dikabarkan-berkumpul-di-hambalang-sore-ini-sinyal-demokrat-merapat,2023-10-11,False
"AHY Bakal Umumkan Sikap, Demokrat Merapat ke Prabowo?",/read/N9nC6gym-ahy-bakal-umumkan-sikap-demokrat-merapat-ke-prabowo,2023-10-11,False
PAN Klaim Demokrat Bersedia Merapat ke Koalisi Prabowo,/read/NleC049Q-pan-klaim-demokrat-bersedia-merapat-ke-koalisi-prabowo,2023-10-11,False
Demokrat Dukung Prabowo Dinilai Langkah Paling Rasional,/read/K5nC4dR0-demokrat-dukung-prabowo-dinilai-langkah-paling-rasional,2023-10-11,False
Ganjar dan Cak Imin Sudah Bikin SKCK Buat Daftar Pilpres,/read/kqYCEMxy-ganjar-dan-cak-imin-sudah-bikin-skck-buat-daftar-pilpres,2023-10-11,False
Pernyataan Ketua DPW PKB Jateng Terkait Jokowi Minta Muhaimin Dukung Prabowo-Erick Diyakini Benar,/read/kWDCOMZE-pernyataan-ketua-dpw-pkb-jateng-terkait-jokowi-minta-muhaimin-dukung-prabowo-erick-diyakini-benar,2023-10-11,False
NasDem Optimistis Anies-Cak Imin Unggul di Priangan Timur,/read/NOlCYLnn-nasdem-optimistis-anies-cak-imin-unggul-di-priangan-timur,2023-10-11,False
Relawan Prabowo Banten Pindah Haluan Dukung Ganjar,/play/NxGC585l-relawan-prabowo-banten-pindah-haluan-dukung-ganjar,2023-10-11,False
5 Anggota KKB Tewas Usai Baku Tembak dengan TNI-Polri,/read/NnjC7o5g-5-anggota-kkb-tewas-usai-baku-tembak-dengan-tni-polri,2023-10-11,False
1.004 Tersangka TPPO Ditangkap,/read/NnjC7opy-1-004-tersangka-tppo-ditangkap,2023-10-11,False
Gerindra Sebut Tak Ada Hambatan Berkoalisi dengan Demokrat,/read/bmRCmqno-gerindra-sebut-tak-ada-hambatan-berkoalisi-dengan-demokrat,2023-10-11,False
Koalisi Prabowo Belum Sepakat Soal Cawapres,/read/bD2CZ4x3-koalisi-prabowo-belum-sepakat-soal-cawapres,2023-10-11,False
Koalisi Indonesia Maju Masih Petakan Tim Pemenangan,/read/NxGC583n-koalisi-indonesia-maju-masih-petakan-tim-pemenangan,2023-10-11,False
Prabowo Sebut Koalisi Indonesia Maju Poros Tengah,/read/NA0CXV9G-prabowo-sebut-koalisi-indonesia-maju-poros-tengah,2023-10-11,False
Prabowo Tawarkan 12 Program Kerja kepada Koalisi,/read/b3JCyav5-prabowo-tawarkan-12-program-kerja-kepada-koalisi,2023-10-11,False
Airlangga Ungkap Ridwan Kamil Disiapkan Buat Pilgub Jabar,/read/bmRCmqne-airlangga-ungkap-ridwan-kamil-disiapkan-buat-pilgub-jabar,2023-10-11,False
Prabowo Diduga Bentengi Ridwan Kamil dari Manuver PDIP,/play/K5nC4dxl-prabowo-diduga-bentengi-ridwan-kamil-dari-manuver-pdip,2023-10-11,False
Golkar: Pertemuan Koalisi Indonesia Maju Bahas Strategi Pemenangan Prabowo,/play/Ky6CBa73-golkar-pertemuan-koalisi-indonesia-maju-bahas-strategi-pemenangan-prabowo,2023-10-11,False
Pucuk Pimpinan Koalisi Prabowo Berkumpul di Markas Golkar,/read/NG9C5DJm-pucuk-pimpinan-koalisi-prabowo-berkumpul-di-markas-golkar,2023-10-11,False
Prabowo Subianto Pamer Keakraban Bareng Ridwan Kamil,/play/NP6CZzgW-prabowo-subianto-pamer-keakraban-bareng-ridwan-kamil,2023-10-11,False
Ridwan Kamil Makan Malam Bersama Prabowo,/play/KvJCB2Oq-ridwan-kamil-makan-malam-bersama-prabowo,2023-10-11,False
Ganjar & Prabowo Mangkir Debat UI,/play/N0BCrQxX-ganjar-prabowo-mangkir-debat-ui,2023-10-11,False
Cawapres Prabowo Mesti Mampu Melanjutkan Program Jokowi,/read/bVDCOxJ1-cawapres-prabowo-mesti-mampu-melanjutkan-program-jokowi,2023-10-11,False
Prabowo: Kalau ada Yang Bagi-Bagi Uang Terima Saja Asal Pilihan Sesuai Hati Nurani,/play/NOlCYL2m-prabowo-kalau-ada-yang-bagi-bagi-uang-terima-saja-asal-pilihan-sesuai-hati-nurani,2023-10-11,False
Prabowo Sebut Sejumlah Nama yang Bisa Jadi Pendampingnya,/read/bw6CYrW5-prabowo-sebut-sejumlah-nama-yang-bisa-jadi-pendampingnya,2023-10-11,False
Kapolri Instruksikan Perbaikan Indeks Persepsi Korupsi,/read/bD2CZ4Ap-kapolri-instruksikan-perbaikan-indeks-persepsi-korupsi,2023-10-11,False
Koalisi Indonesia Maju Gelar Pertemuan di Markas Golkar Malam Ini,/read/NLMCOa0Q-koalisi-indonesia-maju-gelar-pertemuan-di-markas-golkar-malam-ini,2023-10-11,False
Bakal Cawapres Ganjar Disebut Akan Diumumkan saat Injury Time,/read/N6GC8GvY-bakal-cawapres-ganjar-disebut-akan-diumumkan-saat-injury-time,2023-10-11,False
Ridwan Kamil Dipertimbangkan Jadi Cawapres Prabowo,/read/bzGCg8LO-ridwan-kamil-dipertimbangkan-jadi-cawapres-prabowo,2023-10-11,False
"Kasat Narkoba Lampung Selatan Jadi Kurir Narkoba Fredy Pratama, Kapolri: Kita Tindak Tegas",/read/K5nC4dlr-kasat-narkoba-lampung-selatan-jadi-kurir-narkoba-fredy-pratama-kapolri-kita-tindak-tegas,2023-10-11,False
Politik Simbol Jari,/read/N4EC2VBo-politik-simbol-jari,2023-10-11,False
SBY dan Prabowo Mencoba Satu Frekuensi Lewat Nada,/play/NrWCZ7xv-sby-dan-prabowo-mencoba-satu-frekuensi-lewat-nada,2023-10-11,False
Demokrat Menanti Dibukakan Pintu Kubu Ganjar dan Prabowo,/play/KZmCvlWL-demokrat-menanti-dibukakan-pintu-kubu-ganjar-dan-prabowo,2023-10-11,False
Polemik Ucapan Prabowo Soal Uang Serangan Fajar,/play/b7WCRyGz-polemik-ucapan-prabowo-soal-uang-serangan-fajar,2023-10-11,False
PDIP Enggan Berandai-andai Soal Peluang Koalisi dengan Demokrat,/read/bD2CZ47w-pdip-enggan-berandai-andai-soal-peluang-koalisi-dengan-demokrat,2023-10-11,False
Kabareskrim Polri Pastikan Pemiskinan Bandar Narkoba,/read/ba4C0dw9-kabareskrim-polri-pastikan-pemiskinan-bandar-narkoba,2023-10-11,False
"Cuma Anies yang Siap, BEM UI Tunda Debat Bacapres",/read/NnjC7GaD-cuma-anies-yang-siap-bem-ui-tunda-debat-bacapres,2023-10-11,False
"Anggaran Gaji ASN, TNI, dan Polri Bertambah Rp1,6 Triliun",/read/NA0CXm0O-anggaran-gaji-asn-tni-dan-polri-bertambah-rp1-6-triliun,2023-10-11,False
"Prabowo-SBY Akrab, Sinyal Demokrat Merapat?",/play/NQAC255X-prabowo-sby-akrab-sinyal-demokrat-merapat,2023-10-11,False
Prabowo Berupaya Rayu Nahdliyin Setelah Ditinggal Gus Imin,/play/b3JCymmv-prabowo-berupaya-rayu-nahdliyin-setelah-ditinggal-gus-imin,2023-10-11,False
Prabowo Bakal Umumkan Bacawapres Sebelum 10 Oktober,/play/bzGCgZQq-prabowo-bakal-umumkan-bacawapres-sebelum-10-oktober,2023-10-11,False
KPK Sebut Imbauan Prabowo soal Serangan Fajar Menyesatkan,/read/NgxC89nY-kpk-sebut-imbauan-prabowo-soal-serangan-fajar-menyesatkan,2023-10-11,False
Sejumlah Ulama & Santri di Jatim Deklarasi Dukung Prabowo di Pilpres 2024,/play/NnjC7GAv-sejumlah-ulama-santri-di-jatim-deklarasi-dukung-prabowo-di-pilpres-2024,2023-10-11,False
SBY dan Prabowo Nyanyi Bersama di HUT Pepabri,/play/kELC1mXM-sby-dan-prabowo-nyanyi-bersama-di-hut-pepabri,2023-10-11,False
Salah Resep,/read/bw6CYqlx-salah-resep,2023-10-11,False
Mabes Polri Kirim Seribu Personel Amankan Pemilu di Papua,/read/bD2CZ2mx-mabes-polri-kirim-seribu-personel-amankan-pemilu-di-papua,2023-10-11,False
FISIP UI Atur Ulang Jadwal Ganjar Beri Kuliah Kebangsaan,/read/kqYCEDQY-fisip-ui-atur-ulang-jadwal-ganjar-beri-kuliah-kebangsaan,2023-10-11,False
Ganjar Pranowo Batal Hadiri Kuliah Kebangsaan di FISIP UI,/read/NQAC25wD-ganjar-pranowo-batal-hadiri-kuliah-kebangsaan-di-fisip-ui,2023-10-11,False
Relawan Prabowo di Sumsel Beralih Dukung Ganjar di Pilpres 2024,/play/bmRCmR0q-relawan-prabowo-di-sumsel-beralih-dukung-ganjar-di-pilpres-2024,2023-10-11,False
GMC Jatim Bantah Dukung Prabowo di Pilpres 2024,/play/bzGCgZYZ-gmc-jatim-bantah-dukung-prabowo-di-pilpres-2024,2023-10-11,False
Gerindra Harap Demokrat Gabung Koalisi Pendukung Prabowo,/read/bw6CYqQm-gerindra-harap-demokrat-gabung-koalisi-pendukung-prabowo,2023-10-11,False
Golkar Berencana Rapimnas di Tengah Isu Ridwan Kamil Cawapres Ganjar,/read/bVDCO9YO-golkar-berencana-rapimnas-di-tengah-isu-ridwan-kamil-cawapres-ganjar,2023-10-11,False
KPK Didorong Tunda Pemeriksaan Dugaan Kasus Peserta Pemilu,/read/kM6C0nxy-kpk-didorong-tunda-pemeriksaan-dugaan-kasus-peserta-pemilu,2023-10-11,False
Pengamat Sebut Potensi Ganjar-RK Mirip dengan SBY-JK pada 2004,/read/NgxC8924-pengamat-sebut-potensi-ganjar-rk-mirip-dengan-sby-jk-pada-2004,2023-10-11,False
Peneliti dari Harvard Nilai Anies Gandeng Cak Imin Strategi Bagus,/read/kWDCO2A1-peneliti-dari-harvard-nilai-anies-gandeng-cak-imin-strategi-bagus,2023-10-11,False
Survei: Prabowo-Gibran Kalah Unggul Dibanding Prabowo-Erick Thohir,/read/bmRCmRBl-survei-prabowo-gibran-kalah-unggul-dibanding-prabowo-erick-thohir,2023-10-11,False
PDIP dan Demokrat Dinilai Bisa Berkoalisi Bila Melupakan Masa Lalu,/read/NleC0D2d-pdip-dan-demokrat-dinilai-bisa-berkoalisi-bila-melupakan-masa-lalu,2023-10-11,False
Cawapres Prabowo Masih Digodok,/read/kewCleD0-cawapres-prabowo-masih-digodok,2023-10-11,False
Majelis Kehormatan Gerindra Periksa Ketua DPC Semarang Terduga Penganiaya Kader PDIP,/read/bzGCgZ3R-majelis-kehormatan-gerindra-periksa-ketua-dpc-semarang-terduga-penganiaya-kader-pdip,2023-10-11,False
Prabowo Janjikan Pendidikan Gratis untuk Anak Indonesia,/play/KdZCVYJ3-prabowo-janjikan-pendidikan-gratis-untuk-anak-indonesia,2023-10-11,False
Demokrat Jalin Komunikasi dengan Koalisi Pengusung Ganjar dan Prabowo,/play/bVDCO9aG-demokrat-jalin-komunikasi-dengan-koalisi-pengusung-ganjar-dan-prabowo,2023-10-11,False
"Kader PDIP Diduga Dianiaya, Gerindra Bentuk Tim Investigasi",/read/kWDCO2Gx-kader-pdip-diduga-dianiaya-gerindra-bentuk-tim-investigasi,2023-10-11,False
Demokrat Mulai Berpikir Rasional,/read/KXyC9ej8-demokrat-mulai-berpikir-rasional,2023-10-11,False
Menko Airlangga Dampingi Presiden Jokowi Hadiri KTT G20 India,/read/kM6C0n9B-menko-airlangga-dampingi-presiden-jokowi-hadiri-ktt-g20-india,2023-10-11,False
Golkar Tak Permasalahkan RK Dilirik Partai Lain,/read/bw6CYqvQ-golkar-tak-permasalahkan-rk-dilirik-partai-lain,2023-10-11,False
Prabowo Janji Beri Makan Anak-Anak dan Bumil Jika Jadi Presiden,/play/kj2CA3j0-prabowo-janji-beri-makan-anak-anak-dan-bumil-jika-jadi-presiden,2023-10-11,False
Pendukung Prabowo Subianto di Priangan Timur Beralih ke Ganjar,/play/b3JCymWq-pendukung-prabowo-subianto-di-priangan-timur-beralih-ke-ganjar,2023-10-11,False
Manajer WO Ditetapkan Tersangka Akibat Kebakaran Bukit Teletubbies Kawasan TNBTS,/read/KXyC9eMw-manajer-wo-ditetapkan-tersangka-akibat-kebakaran-bukit-teletubbies-kawasan-tnbts,2023-10-11,False
Prabowo Cari Bacawapres Nahdliyin Usai Ditinggal Cak Imin?,/play/N6GC89lo-prabowo-cari-bacawapres-nahdliyin-usai-ditinggal-cak-imin,2023-10-11,False
Prabowo: ASEAN Kawasan Paling Aman dan Tentram di Dunia,/play/kewCle51-prabowo-asean-kawasan-paling-aman-dan-tentram-di-dunia,2023-10-11,False
Tak Ada Lagi Penutupan Jalan di Jakarta Besok,/read/bmRCmROO-tak-ada-lagi-penutupan-jalan-di-jakarta-besok,2023-10-11,False
2 Drone Tak Berizin Ditindak Selama KTT ASEAN ke-43,/read/KXyC9eaw-2-drone-tak-berizin-ditindak-selama-ktt-asean-ke-43,2023-10-11,False
Panglima Sebut Pengamanan KTT ASEAN ke-43 Berjalan Lancar,/read/KvJCB7EP-panglima-sebut-pengamanan-ktt-asean-ke-43-berjalan-lancar,2023-10-11,False
Pengamat Politik Duga Yenny Wahid Berada di Kubu Prabowo,/play/NOlCYX7w-pengamat-politik-duga-yenny-wahid-berada-di-kubu-prabowo,2023-10-11,False
Figur NU Punya Peluang Besar Jadi Bacawapres Prabowo,/play/b2lCrD56-figur-nu-punya-peluang-besar-jadi-bacawapres-prabowo,2023-10-11,False
Menhan Prabowo: Indonesia Bersahabat dengan Semua Negara,/play/bw6CYqXW-menhan-prabowo-indonesia-bersahabat-dengan-semua-negara,2023-10-11,False
"KTT ASEAN, Prabowo Beberkan Ketidakhadiran Joe Biden dan Xi Jinping",/read/NxGC5Zn2-ktt-asean-prabowo-beberkan-ketidakhadiran-joe-biden-dan-xi-jinping,2023-10-11,False
Prabowo dan Ganjar Berebut Sosok Cawapres yang Menambal Kekurangannya,/read/KYVCJ5mD-prabowo-dan-ganjar-berebut-sosok-cawapres-yang-menambal-kekurangannya,2023-10-11,False
Respons Partai NasDem Soal Foto Anies Bareng JK dan Kubu Prabowo,/read/KRXCaWzr-respons-partai-nasdem-soal-foto-anies-bareng-jk-dan-kubu-prabowo,2023-10-11,False
Yenny Wahid Ingin Prabowo Pilih Cawapres Muda,/read/KZmCv9Qz-yenny-wahid-ingin-prabowo-pilih-cawapres-muda,2023-10-11,False
"Hadiri Gala Dinner KTT Ke-43 ASEAN, Presiden Jokowi dan Iriana Gunakan Busana Adat Betawi",/read/NgxC89aB-hadiri-gala-dinner-ktt-ke-43-asean-presiden-jokowi-dan-iriana-gunakan-busana-adat-betawi,2023-10-11,False
"Bertemu Yenny Wahid, Prabowo Bahas Perkembangan Politik yang Dinamis",/read/bw6CYqgv-bertemu-yenny-wahid-prabowo-bahas-perkembangan-politik-yang-dinamis,2023-10-11,False
Prabowo-Yenny Wahid Sepakat Terus Bangun Komunikasi,/play/b2lCrDp9-prabowo-yenny-wahid-sepakat-terus-bangun-komunikasi,2023-10-11,False
Cak Imin Mengaku Sedih 'Berpisah' dengan Prabowo,/play/NP6CZGpn-cak-imin-mengaku-sedih-berpisah-dengan-prabowo,2023-10-11,False
Gerak Cepat Polri Usut Iklan Judi Online di Youtube DPR,/read/NrWCZLRj-gerak-cepat-polri-usut-iklan-judi-online-di-youtube-dpr,2023-10-11,False
Demokrat Klaim Tak Bakal Bikin Poros Baru,/read/K5nC4zaB-demokrat-klaim-tak-bakal-bikin-poros-baru,2023-10-11,False
Cak Imin Buka-bukaan Soal Proses Koalisi dengan NasDem,/read/N9nC6mGz-cak-imin-buka-bukaan-soal-proses-koalisi-dengan-nasdem,2023-10-11,False
"Hendropriyono Kesemsem Prabowo, Andika Merapat ke Ganjar",/play/NrWCZLdR-hendropriyono-kesemsem-prabowo-andika-merapat-ke-ganjar,2023-10-11,False
2.541 Korban TPPO Diselamatkan per Awal September 2023,/read/kM6C0n1X-2-541-korban-tppo-diselamatkan-per-awal-september-2023,2023-10-11,False
"Gerindra Terbuka dengan Demokrat, Tapi...",/read/NP6CZGeO-gerindra-terbuka-dengan-demokrat-tapi,2023-10-11,False
SBY Akan Pimpin Langsung Arah Koalisi Demokrat,/read/kELC1mg6-sby-akan-pimpin-langsung-arah-koalisi-demokrat,2023-10-11,False
